name,m_source_file,m_ep_file,m_lep_file,m_ep_time,m_lep_time,m_div_mat_time,m_globals_time,m_locals_time,m_total_time,m_np_eig_time,g_avg_node_degree,g_order,g_size,g_directed,g_density,g_connected_components,ep_percent_nt_vertices,ep_percent_nt_elements,ep_num_elements,ep_size_max,ep_size_min,ep_size_avg,ep_size_variance,ep_size_std_dev,ep_size_median,ep_size_mode,ep_size_range,ep_size_iqr,ep_size_skewness,ep_size_kurtosis,lep_percent_vnt_leps,lep_percent_ent_leps,lep_percent_ent_vertices,lep_num_leps,lep_size_max,lep_size_min,lep_size_avg,lep_size_variance,lep_size_std_dev,lep_size_median,lep_size_mode,lep_size_range,lep_size_iqr,lep_size_skewness,lep_size_kurtosis
mammalia-voles-plj-trapping.clean,/home/pseely/research/datasets/undirected/animal_social/mammalia-voles-plj-trapping/mammalia-voles-plj-trapping.clean.csv,ep_data.pkl,lep_data.pkl,0.0132665634155273,0.00314426422119141,0.00328612327575684,2.01115369796753,0.00999569892883301,2.03803944587708,2.03318858146668,2.67616785431512,1263,3380,False,0.00424115349336787,40,0.197941409342835,0.0790909090909091,1100,48,1,1.14818181818182,2.28804214876033,1.51262756445872,1,1,47,0,27.5789746849781,837.282230403659,0.0748858447488584,0.0045662100456621,0.0245447347585115,1095,2,1,1.00456621004566,0.00454535977148099,0.0674192833800612,1,1,1,0,14.6970945140856,214.004587155963
reptilia-tortoise-network-fi.clean,/home/pseely/research/datasets/undirected/animal_social/reptilia-tortoise-network-fi/reptilia-tortoise-network-fi.clean.csv,ep_data.pkl,lep_data.pkl,0.00498533248901367,0.00164556503295898,0.000966548919677734,0.243558645248413,0.00618624687194824,0.257018327713013,0.599443674087524,1.52096569250318,787,1197,False,0.00387014171120401,104,0.424396442185515,0.113502935420744,511,126,1,1.54011741682975,33.5869424519667,5.79542426850414,1,1,125,0,19.7352931813738,414.896617401367,0.094,0.018,0.139771283354511,500,3,1,1.022,0.029516,0.171802211860034,1,1,2,0,8.68508029509146,81.9849694509464
reptilia-tortoise-network-fi-2011.clean,/home/pseely/research/datasets/undirected/animal_social/reptilia-tortoise-network-fi-2011/reptilia-tortoise-network-fi-2011.clean.csv,ep_data.pkl,lep_data.pkl,0.00220942497253418,0.000833511352539063,0.000344991683959961,0.0198190212249756,0.00367569923400879,0.0266187191009522,0.0796494483947754,1.09610983981693,437,479,False,0.00502802678815107,99,0.578947368421053,0.152073732718894,217,116,1,2.01382488479263,67.7647858310858,8.23193694285165,1,1,115,0,12.5652660532147,167.577599952545,0.123809523809524,0.0238095238095238,0.176201372997712,210,4,1,1.03333333333333,0.0607936507936508,0.246563685066659,1,1,3,0,9.44011364600465,101.302524388332
ENZYMES_g118.clean,/home/pseely/research/datasets/undirected/cheminformatics/ENZYMES_g118/ENZYMES_g118.clean.txt,ep_data.pkl,lep_data.pkl,0.00184798240661621,0.000179529190063477,0.000133037567138672,0.00173139572143555,9.29832458496094E-06,0.00271940231323242,0.00202631950378418,1.27368421052632,95,121,False,0.0270996640537514,1,0,0,95,1,1,1,0,0,1,1,0,0,nan,nan,0,0,0,95,1,1,1,0,0,1,1,0,0,nan,nan
ENZYMES_g293.clean,/home/pseely/research/datasets/undirected/cheminformatics/ENZYMES_g293/ENZYMES_g293.clean.txt,ep_data.pkl,lep_data.pkl,0.00154471397399902,0.000216007232666016,0.000117301940917969,0.00169205665588379,0.000600814819335938,0.00317668914794922,0.00216436386108398,1.13541666666667,96,109,False,0.0239035087719298,1,0.1875,0.103448275862069,87,2,1,1.10344827586207,0.0927467300832342,0.304543478149236,1,1,1,0,2.60423717853257,4.78205128205129,0.0487804878048781,0.0121951219512195,0.125,82,6,1,1.0609756097561,0.30116002379536,0.548780487804878,1,1,5,0,8.88888888888888,77.0123456790122
ENZYMES_g295.clean,/home/pseely/research/datasets/undirected/cheminformatics/ENZYMES_g295/ENZYMES_g295.clean.txt,ep_data.pkl,lep_data.pkl,0.00077056884765625,0.00024724006652832,0.000169515609741211,0.00347900390625,1.28746032714844E-05,0.00465226173400879,0.00532770156860352,1.13008130081301,123,139,False,0.0185259229641477,1,0,0,123,1,1,1,0,0,1,1,0,0,nan,nan,0,0,0,123,1,1,1,0,0,1,1,0,0,nan,nan
ENZYMES_g296,/home/pseely/research/datasets/undirected/cheminformatics/ENZYMES_g296/ENZYMES_g296.edges,ep_data.pkl,lep_data.pkl,0.000855207443237305,0.000227689743041992,0.000159740447998047,0.00351214408874512,1.64508819580078E-05,0.00468969345092773,0.00412654876708984,1.128,125,141,False,0.0181935483870968,1,0,0,125,1,1,1,0,0,1,1,0,0,nan,nan,0,0,0,125,1,1,1,0,0,1,1,0,0,nan,nan
ENZYMES_g297.clean,/home/pseely/research/datasets/undirected/cheminformatics/ENZYMES_g297/ENZYMES_g297.clean.txt,ep_data.pkl,lep_data.pkl,0.000788450241088867,0.000236034393310547,0.000164508819580078,0.00330853462219238,1.62124633789063E-05,0.00467634201049805,0.00346016883850098,1.23140495867769,121,149,False,0.0205234159779614,1,0,0,121,1,1,1,0,0,1,1,0,0,nan,nan,0,0,0,121,1,1,1,0,0,1,1,0,0,nan,nan
econ-poli.clean,/home/pseely/research/datasets/directed/economic/econ-poli/econ-poli.clean.csv,ep_data.pkl,lep_data.pkl,0.0129280090332031,0.0073082447052002,0.000562429428100586,0.000745534896850586,0.199777603149414,0.221374750137329,0.255825757980347,2.04291417165669,4008,8188,True,0.000509836329337831,269,0.961576846307385,0.425373134328358,268,1706,1,14.955223880597,12405.1323234573,111.378329685165,1,1,1705,2,13.5237179707858,197.101009921885,0.263157894736842,0.0287081339712919,0.926397205588822,209,53,1,1.2822966507177,12.9203086009936,3.59448307841247,1,1,52,0,14.2532990283025,202.054033892588
econ-mahindas.clean,/home/pseely/research/datasets/directed/economic/econ-mahindas/econ-mahindas.clean.csv,ep_data.pkl,lep_data.pkl,0.0131890773773193,0.00271821022033691,0.00378513336181641,3.34125423431397,0.000232696533203125,3.36133456230164,3.43734955787659,6.10651828298887,1258,7682,True,0.00485800977166975,1,0,0,1258,1,1,1,0,0,1,1,0,0,nan,nan,0,0,0,1258,1,1,1,0,0,1,1,0,0,nan,nan
